Iteracion 1:
Poblacion:
Individuo 1: [12, 4, 8, 34, 15, 27, 20, 16, 40, 30, 14, 38, 23, 36, 24, 32, 35, 28, 13, 18, 25, 31, 29, 17, 19, 3, 39, 22, 2, 1, 5, 10, 37, 9, 6, 33, 21, 7, 26, 11] - Fitness: 305715
Individuo 2: [31, 28, 19, 8, 30, 17, 20, 29, 27, 33, 11, 25, 35, 40, 5, 38, 7, 26, 13, 9, 23, 12, 15, 36, 16, 14, 6, 39, 1, 3, 10, 22, 21, 34, 2, 24, 4, 18, 37, 32] - Fitness: 323376
Individuo 3: [30, 27, 18, 17, 12, 2, 28, 23, 19, 10, 13, 37, 29, 7, 39, 36, 4, 21, 16, 35, 5, 3, 9, 32, 6, 24, 15, 8, 31, 14, 26, 34, 40, 33, 38, 20, 11, 22, 1, 25] - Fitness: 344444
Individuo 4: [40, 13, 1, 30, 10, 18, 38, 34, 33, 22, 27, 28, 32, 15, 37, 3, 2, 14, 19, 16, 6, 35, 9, 7, 23, 5, 31, 39, 20, 24, 4, 26, 21, 12, 36, 17, 11, 25, 8, 29] - Fitness: 336024
Individuo 5: [4, 6, 34, 40, 1, 19, 16, 25, 13, 22, 14, 3, 18, 21, 12, 37, 38, 17, 29, 24, 8, 10, 23, 7, 33, 20, 28, 15, 9, 5, 2, 30, 11, 39, 26, 32, 27, 35, 31, 36] - Fitness: 339298
Individuo 6: [35, 1, 7, 14, 12, 6, 20, 15, 11, 9, 28, 38, 10, 30, 23, 16, 34, 39, 37, 36, 32, 24, 17, 22, 4, 40, 31, 13, 27, 8, 25, 26, 2, 3, 5, 29, 33, 18, 21, 19] - Fitness: 265294
Individuo 7: [37, 5, 6, 10, 22, 34, 31, 12, 30, 18, 25, 26, 1, 17, 19, 4, 8, 27, 16, 24, 9, 11, 35, 3, 40, 23, 14, 2, 38, 29, 15, 39, 33, 20, 28, 7, 32, 21, 36, 13] - Fitness: 367818
Individuo 8: [32, 3, 27, 34, 16, 31, 24, 25, 9, 5, 17, 20, 13, 10, 30, 8, 2, 15, 23, 39, 19, 12, 38, 4, 36, 1, 22, 37, 7, 14, 21, 6, 40, 11, 33, 28, 29, 35, 26, 18] - Fitness: 360310
Individuo 9: [40, 15, 38, 12, 5, 11, 13, 24, 8, 10, 2, 32, 25, 22, 21, 1, 14, 30, 19, 34, 18, 39, 28, 20, 36, 17, 7, 6, 37, 26, 4, 3, 35, 23, 29, 9, 31, 33, 16, 27] - Fitness: 360445
Individuo 10: [7, 23, 32, 10, 38, 40, 17, 36, 11, 33, 20, 31, 8, 34, 2, 6, 14, 3, 19, 37, 12, 27, 39, 18, 15, 35, 4, 5, 29, 26, 25, 28, 22, 16, 24, 1, 13, 30, 9, 21] - Fitness: 260964
Individuo 11: [34, 11, 28, 9, 27, 18, 38, 17, 2, 1, 37, 7, 32, 16, 35, 19, 24, 36, 26, 40, 20, 10, 23, 15, 5, 4, 13, 21, 8, 12, 25, 6, 29, 31, 39, 14, 22, 33, 3, 30] - Fitness: 338001
Individuo 12: [38, 13, 19, 33, 37, 14, 17, 39, 28, 4, 16, 7, 11, 40, 24, 18, 12, 5, 36, 9, 25, 32, 30, 21, 22, 26, 23, 1, 31, 34, 15, 2, 27, 29, 3, 6, 20, 8, 10, 35] - Fitness: 312777
Individuo 13: [37, 14, 6, 36, 27, 13, 16, 33, 5, 31, 35, 34, 10, 28, 39, 38, 4, 7, 11, 23, 22, 30, 18, 3, 32, 9, 17, 15, 12, 26, 2, 1, 8, 24, 20, 29, 19, 40, 21, 25] - Fitness: 355257
Individuo 14: [19, 35, 32, 31, 16, 13, 15, 2, 20, 24, 34, 29, 27, 11, 28, 12, 9, 37, 3, 21, 39, 7, 36, 40, 23, 18, 22, 5, 4, 38, 25, 26, 17, 14, 10, 1, 33, 6, 8, 30] - Fitness: 319553
Individuo 15: [18, 10, 35, 33, 3, 39, 12, 30, 27, 22, 37, 34, 11, 26, 7, 28, 13, 40, 36, 32, 20, 25, 4, 19, 29, 2, 17, 1, 9, 24, 38, 14, 5, 23, 21, 15, 6, 16, 31, 8] - Fitness: 304198
Individuo 16: [1, 14, 15, 35, 24, 23, 13, 4, 7, 25, 28, 2, 6, 40, 3, 32, 34, 22, 39, 36, 5, 17, 26, 19, 31, 21, 8, 30, 29, 11, 37, 27, 9, 12, 18, 10, 20, 38, 16, 33] - Fitness: 314680
Individuo 17: [7, 23, 19, 1, 22, 37, 26, 40, 35, 39, 21, 32, 6, 29, 31, 24, 27, 14, 10, 16, 11, 4, 12, 15, 20, 13, 8, 30, 38, 36, 18, 17, 28, 5, 25, 2, 34, 3, 9, 33] - Fitness: 293055
Individuo 18: [8, 20, 35, 4, 10, 29, 14, 31, 17, 5, 23, 21, 18, 40, 9, 2, 22, 15, 6, 36, 11, 30, 7, 37, 39, 25, 34, 32, 12, 16, 28, 1, 38, 13, 24, 3, 33, 26, 27, 19] - Fitness: 339977
Individuo 19: [13, 18, 6, 22, 25, 35, 28, 5, 4, 2, 19, 11, 7, 39, 30, 14, 36, 1, 17, 21, 27, 20, 26, 29, 37, 15, 33, 34, 38, 16, 32, 8, 10, 40, 31, 3, 24, 12, 9, 23] - Fitness: 309496
Individuo 20: [24, 34, 8, 28, 2, 14, 25, 31, 26, 37, 40, 33, 1, 5, 27, 29, 30, 15, 23, 39, 17, 32, 10, 6, 21, 13, 19, 18, 38, 22, 9, 7, 3, 20, 35, 36, 11, 4, 16, 12] - Fitness: 299734
Individuo 21: [8, 31, 6, 2, 12, 1, 7, 11, 10, 23, 29, 22, 37, 18, 25, 3, 24, 30, 15, 36, 19, 39, 32, 5, 16, 21, 27, 28, 13, 20, 4, 9, 38, 33, 35, 34, 26, 14, 40, 17] - Fitness: 359380
Individuo 22: [19, 39, 1, 8, 27, 14, 28, 9, 38, 13, 4, 26, 2, 30, 40, 17, 24, 22, 20, 5, 34, 37, 6, 33, 10, 3, 23, 31, 25, 36, 32, 16, 21, 18, 35, 11, 29, 7, 12, 15] - Fitness: 306690
Individuo 23: [10, 8, 25, 4, 31, 26, 20, 15, 39, 19, 33, 35, 14, 32, 27, 37, 22, 3, 23, 12, 13, 2, 21, 30, 7, 24, 6, 36, 29, 17, 1, 5, 34, 40, 11, 28, 38, 9, 16, 18] - Fitness: 312732
Individuo 24: [30, 17, 1, 12, 20, 22, 14, 5, 15, 27, 25, 29, 33, 6, 26, 4, 16, 21, 7, 40, 11, 2, 18, 34, 36, 37, 23, 28, 8, 31, 38, 13, 39, 35, 24, 10, 19, 3, 9, 32] - Fitness: 318199
Individuo 25: [34, 36, 5, 24, 4, 32, 40, 28, 39, 9, 38, 1, 21, 7, 29, 6, 11, 35, 22, 10, 30, 25, 31, 16, 17, 33, 19, 27, 26, 18, 3, 12, 14, 8, 23, 2, 37, 13, 20, 15] - Fitness: 313308
Individuo 26: [25, 29, 31, 16, 33, 32, 37, 22, 7, 4, 8, 34, 36, 19, 5, 1, 12, 17, 6, 38, 14, 35, 18, 30, 21, 13, 2, 9, 24, 27, 11, 28, 23, 20, 40, 15, 39, 3, 26, 10] - Fitness: 309113
Individuo 27: [10, 2, 32, 13, 17, 29, 5, 18, 24, 7, 4, 35, 25, 27, 33, 40, 19, 11, 30, 16, 31, 6, 14, 3, 15, 8, 12, 28, 36, 37, 22, 1, 23, 26, 39, 21, 20, 34, 38, 9] - Fitness: 335066
Individuo 28: [23, 31, 8, 22, 34, 19, 11, 9, 5, 2, 38, 32, 1, 12, 39, 13, 18, 30, 15, 21, 36, 20, 7, 29, 16, 6, 26, 37, 4, 24, 40, 14, 10, 3, 33, 27, 17, 35, 28, 25] - Fitness: 344193
Individuo 29: [6, 31, 20, 16, 11, 29, 1, 17, 27, 10, 37, 23, 19, 12, 18, 38, 24, 2, 4, 26, 22, 30, 13, 28, 33, 3, 9, 32, 14, 34, 15, 7, 21, 39, 25, 35, 40, 36, 5, 8] - Fitness: 352610
Individuo 30: [12, 9, 3, 10, 36, 37, 25, 40, 24, 14, 20, 17, 8, 34, 2, 15, 26, 6, 4, 19, 38, 28, 33, 31, 21, 13, 22, 11, 18, 35, 5, 39, 29, 32, 1, 30, 23, 16, 27, 7] - Fitness: 321190
Individuo 31: [21, 18, 16, 37, 3, 19, 29, 25, 27, 5, 1, 23, 34, 40, 14, 20, 8, 35, 9, 22, 39, 13, 7, 24, 33, 15, 2, 12, 32, 17, 11, 38, 28, 30, 6, 4, 31, 36, 10, 26] - Fitness: 336007
Individuo 32: [35, 26, 18, 40, 1, 8, 39, 25, 19, 31, 4, 14, 16, 17, 32, 21, 28, 36, 34, 29, 33, 20, 2, 12, 3, 22, 7, 27, 11, 37, 23, 6, 9, 15, 13, 30, 5, 24, 10, 38] - Fitness: 283880
Individuo 33: [22, 1, 7, 34, 15, 32, 9, 12, 37, 16, 4, 20, 13, 31, 29, 18, 2, 23, 10, 36, 30, 35, 24, 5, 40, 21, 6, 38, 27, 26, 11, 14, 17, 28, 33, 19, 39, 8, 25, 3] - Fitness: 356429
Individuo 34: [9, 10, 39, 23, 30, 2, 22, 38, 29, 16, 17, 4, 13, 40, 27, 35, 26, 7, 25, 34, 1, 28, 32, 21, 3, 11, 6, 5, 33, 12, 24, 14, 18, 36, 37, 20, 31, 15, 8, 19] - Fitness: 320764
Individuo 35: [26, 36, 5, 38, 27, 22, 37, 15, 19, 13, 8, 40, 21, 33, 10, 39, 3, 16, 12, 14, 7, 34, 31, 24, 35, 18, 32, 30, 1, 11, 23, 4, 2, 9, 20, 29, 25, 28, 6, 17] - Fitness: 319408
Individuo 36: [38, 2, 19, 11, 29, 34, 28, 37, 9, 13, 6, 39, 18, 36, 31, 23, 24, 30, 15, 21, 17, 16, 5, 26, 33, 10, 3, 40, 22, 27, 32, 8, 20, 7, 4, 35, 25, 1, 12, 14] - Fitness: 320756
Individuo 37: [24, 22, 19, 11, 37, 10, 9, 36, 35, 4, 25, 7, 8, 40, 5, 23, 17, 2, 30, 31, 12, 27, 21, 32, 28, 14, 33, 26, 13, 15, 20, 18, 1, 39, 16, 6, 29, 34, 38, 3] - Fitness: 302944
Individuo 38: [39, 29, 7, 14, 16, 37, 8, 20, 31, 24, 19, 32, 1, 21, 12, 15, 9, 27, 17, 3, 6, 33, 38, 10, 30, 28, 34, 2, 11, 22, 5, 36, 13, 18, 4, 40, 26, 25, 35, 23] - Fitness: 284457
